pick,normalized_value,wav_per_game
1,73.45488221055687,0.47495412282295396
2,72.69754176606156,0.4700572125609167
3,71.94948783372752,0.46522034823598946
4,71.21060654229812,0.46044279356460366
5,70.48078541680661,0.45572382129150313
6,69.75991336145482,0.45106271307903933
7,69.0478806427018,0.4464587593978232
8,68.34457887255978,0.44191125941871867
9,67.64990099209504,0.43741952090615976
10,66.96374125513103,0.43298286011277637
11,66.28599521215129,0.42860060167531194
12,65.61655969439985,0.42427207851181736
13,64.95533279817651,0.41999663172010543
14,64.30221386932476,0.41577361047745115
15,63.657103487909794,0.4116023719415204
16,63.01990345308456,0.4074822811525152
17,62.390516768141254,0.40341271093651765
18,61.768847625746155,0.3993930418100191
19,61.15480139335555,0.39542266188562103
20,60.5482845988104,0.3915009667788908
21,59.949204916107746,0.38762735951636096
22,59.357471151346545,0.3838012504446553
23,58.772993228845756,0.38002205714073023
24,58.19568217743281,0.3762892043232162
25,57.625450116900055,0.3726021237648468
26,57.06221024462739,0.3689602542059609
27,56.50587682236884,0.36536304126906605
28,55.95636516320123,0.3618099373744494
29,55.41359161863283,0.358300401656823
30,54.87747356587011,0.35483389988299163
31,54.34792939524066,0.35140990437053043
32,53.824878497770236,0.34802789390745836
33,53.308241252912225,0.3446873536728987
34,52.79793901642755,0.3413877751587106
35,52.29389410841316,0.33812865609208254
36,51.796029801477374,0.33490950035907446
37,51.3042703090601,0.3317298179290979
38,50.81854077389648,0.32858912478032193
39,50.338767256621736,0.3254869428259935
40,49.86487672451598,0.32242279984166183
41,49.396797040386836,0.3193962293932941
42,48.93445695158859,0.31640677076627444
43,48.47778607917575,0.3134539688952715
44,48.02671490718984,0.31053737429496736
45,47.58117477207736,0.3076565429916349
46,47.14109785223767,0.30481103645555546
47,46.70641715769887,0.3020004215342633
48,46.277066519920496,0.299224270386611
49,45.85298058172096,0.29648216041764064
50,45.43409478732881,0.29377367421425626
51,45.02034537255573,0.2910983994816828
52,44.61166935509023,0.28845592898070627
53,44.208004524910166,0.2858458604656812
54,43.80928943481305,0.2832677966233008
55,43.41546339106225,0.2807213450121155
56,43.026466444148014,0.2782061180027949
57,42.64223937966179,0.27572173271912115
58,42.262723709282376,0.27326781097970665
59,41.88786166187264,0.27084397924042547
60,41.51759617468543,0.2684498685375518
61,41.15187088467725,0.26608511443159477
62,40.790630119928544,0.26374935695182233
63,40.43381889116905,0.26144224054146487
64,40.08138288340725,0.2591634140035922
65,39.73326844766229,0.25691253044765217
66,39.38942259279739,0.2546892472366664
67,39.049792977453315,0.2524932259350727
68,38.71432790208086,0.2503241322572074
69,38.382976301070926,0.2481816360164192
70,38.055687734981156,0.24606541107480726
71,37.73241238285789,0.24397513529357506
72,37.413101034652215,0.24191049048399368
73,37.097705083729096,0.23987116235896574
74,36.78617651946828,0.23785684048518393
75,36.47846791995598,0.23586721823587567
76,36.17453244476613,0.23390199274412712
77,35.8743238278302,0.2319608648567802
78,35.57779637039441,0.2300435390888941
79,35.28490493406333,0.22814972357876603
80,34.99560493392873,0.22627913004350256
81,34.70985233178276,0.22443147373513658
82,34.42760362941428,0.2226064733972819
83,34.1488158619874,0.2208038512223195
84,33.87344659150129,0.2190233328091087
85,33.60145390033007,0.21726464712121693
86,33.332796384842,0.21552752644566173
87,33.06743314909684,0.21381170635215827
88,32.80532379862062,0.2121169256528675
89,32.54642843425655,0.21044292636263662
90,32.29070764609152,0.20878945365972812
91,32.03812250745696,0.20715625584702985
92,31.788634569003293,0.2055430843137408
93,31.542205852847047,0.2039496934975269
94,31.298798846789758,0.20237584084714055
95,31.058376498607686,0.2008212867854986
96,30.82090221041168,0.19928579467321356
97,30.58633983307604,0.1977691307725708
98,30.354653660735835,0.19627106421194898
99,30.12580842535163,0.19479136695067564
100,29.899769291340846,0.19332981374431404
101,29.676501850274988,0.1918861821103759
102,29.455972115641885,0.19046025229445426
103,29.238146517672128,0.18905180723677173
104,29.02299189822898,0.18766063253913892
105,28.810475505760948,0.18628651643231808
106,28.600564990316215,0.18492924974378697
107,28.39322839861824,0.18358862586589772
108,28.188434169201678,0.18226444072442638
109,27.98615112760806,0.1809564927475083
110,27.786348481640253,0.17966458283495373
111,27.588995816675215,0.17838851432794073
112,27.394063091034134,0.1771280929790785
113,27.201520631409416,0.17588312692283875
114,27.011339128347714,0.1746534266463493
115,26.823489631788334,0.17343880496054567
116,26.63794354665636,0.17223907697167654
117,26.454672628509826,0.1710540600531587
118,26.273648979240253,0.16988357381777702
119,26.094845042825902,0.16872744009022522
120,25.91823360113709,0.1675854828799834
121,25.74378776979298,0.16645752835452843
122,25.57148099406915,0.16534340481287224
123,25.401287044855334,0.1642429426594253
124,25.233180014662725,0.16315597437817975
125,25.067134313680285,0.16208233450721005
126,24.903124665879353,0.16102185961348542
127,24.741126105166067,0.15997438826799193
128,24.581113971580905,0.15893976102115864
129,24.4230639075449,0.15791782037858632
130,24.266951854151838,0.15690841077707263
131,24.11275404750592,0.15591137856093207
132,23.960447015104357,0.15492657195860585
133,23.810007572264297,0.15395384105955873
134,23.661412818593593,0.1529930377914593
135,23.514640134504795,0.1520440158976396
136,23.36966717777196,0.15110663091483179
137,23.226471880129615,0.15018074015117716
138,23.08503244391348,0.1492662026645055
139,22.94532733874232,0.14836287924087985
140,22.807335298240552,0.14747063237340552
141,22.67103531680098,0.14658932624129775
142,22.536406646387285,0.14571882668920716
143,22.40342879337564,0.14485900120679765
144,22.27208151543515,0.14400971890857567
145,22.14234481844648,0.14317085051396614
146,22.014198953458276,0.14234226832763308
147,21.88762441368092,0.14152384622004124
148,21.762601931517146,0.14071545960825643
149,21.639112475629048,0.13991698543698092
150,21.517137248041095,0.1391283021598217
151,21.3966576812786,0.1383492897207881
152,21.277655435541355,0.13757982953601675
153,21.160112395911874,0.13681980447572006
154,21.044010669597856,0.13606909884635646
155,20.92933258320852,0.1353275983730192
156,20.816060680064282,0.13459519018204089
157,20.70417771753946,0.13387176278381174
158,20.593666664437507,0.13315720605580797
159,20.48451069839851,0.13245141122582874
160,20.3766932033384,0.13175427085543848
161,20.270197766919626,0.1310656788236122
162,20.16500817805278,0.13038553031058142
163,20.06110842442893,0.1297137217818783
164,19.958482690082132,0.12905015097257488
165,19.85711535298191,0.1283947168717165
166,19.75699098265519,0.12774731970694517
167,19.658094337837436,0.127107860929312
168,19.560410364152574,0.12647624319827594
169,19.463924191821356,0.12585237036688596
170,19.368621133397845,0.12523614746714548
171,19.27448668153363,0.12462748069555599
172,19.181506506769473,0.12402627739883774
173,19.08966645535405,0.12343244605982624
174,18.99895254708938,0.12284589628354065
175,18.90935097320276,0.12226653878342392
176,18.82084809424471,0.12169428536775122
177,18.733430438012746,0.12112904892620502
178,18.647084697500606,0.12057074341661497
179,18.561797728872587,0.12001928385186016
180,18.47755654946277,0.1194745862869322
181,18.39434833579875,0.1189365678061568
182,18.312160421649594,0.11840514651057203
183,18.230980296097773,0.11788024150546156
184,18.150795601634663,0.11736177288804024
185,18.07159413227948,0.11684966173529138
186,17.993363831721247,0.11634383009195273
187,17.916092791483514,0.11584420095864982
188,17.839769249111633,0.11535069828017479
189,17.76438158638223,0.11486324693390917
190,17.689918327534638,0.11438177271838844
191,17.616368137524034,0.11390620234200675
192,17.54371982029596,0.11343646341186026
193,17.471962317082024,0.11297248442272723
194,17.401084704716528,0.11251419474618342
195,17.33107619397366,0.11206152461985054
196,17.261926127925157,0.11161440513677694
197,17.193623980318065,0.11117276823494841
198,17.12615935397239,0.11073654668692741
199,17.059521979198408,0.11030567408961961
200,16.993701712233378,0.1098800848541657
201,16.928688533697432,0.10945971419595729
202,16.864472547068385,0.10904449812477521
203,16.80104397717525,0.10863437343504863
204,16.738393168710235,0.10822927769623368
205,16.676510584758987,0.10782914924331025
206,16.615386805348827,0.10743392716739486
207,16.555012526014835,0.10704355130646913
208,16.495378556383486,0.10665796223622163
209,16.43647581877366,0.10627710126100214
210,16.378295346814795,0.10590091040488671
211,16.320828284082026,0.10552933240285255
212,16.264065882747992,0.10516231069206071
213,16.207999502251255,0.10479978940324625
214,16.152620607980964,0.10444171335221324
215,16.097920769977712,0.10408802803143467
216,16.043891661650303,0.10373867960175516
217,15.990525058508233,0.10339361488419525
218,15.937812836909744,0.1030527813518564
219,15.885746972825212,0.1027161271219251
220,15.834319540615699,0.10238360094777522
221,15.783522711826496,0.102055152211167
222,15.733348753995442,0.10173073091454174
223,15.683790029475855,0.10141028767341105
224,15.634838994273924,0.10109377370883937
225,15.586488196900325,0.10078114084001873
226,15.538730277235924,0.10047234147693442
227,15.491557965411413,0.10016732861312068
228,15.444964080700649,0.09986605581850534
229,15.398941530427592,0.09956847723234198
230,15.353483308886627,0.09927454755622879
231,15.308582496276133,0.09898422204721329
232,15.264232257645137,0.09869745651098122
233,15.22042584185286,0.09841420729512924
234,15.177156580541045,0.09813443128252003
235,15.13441788711888,0.09785808588471873
236,15.092203255760358,0.09758512903551014
237,15.050506260413941,0.09731551918449517
238,15.00932055382437,0.09704921529076595
239,14.968639866566452,0.09678617681665833
240,14.928458006090725,0.09652636372158131
241,14.888768855780793,0.09626973645592171
242,14.84956637402224,0.09601625595502399
243,14.810844593282958,0.09576588363324351
244,14.772597619204742,0.09551858137807305
245,14.73481962970604,0.09527431154434111
246,14.697504874095689,0.09503303694848152
247,14.660647672197525,0.09479472086287304
248,14.62424241348574,0.09455932701024887
249,14.588283556230817,0.0943268195581741
250,14.552765626655948,0.09409716311359137
251,14.517683218103807,0.09387032271743316
252,14.483030990213525,0.09364626383930014
253,14.448803668107768,0.09342495237220501
254,14.414996041589767,0.09320635462738043
255,14.381602964350208,0.09299043732915085
256,14.348619353183857,0.09277716760986737
